"","GC124688","GC124689","GC124690","GC124691","GC124692","GC124693","GC124694","GC124695","GC124696"
"BT_0001",94,70,59,4,10,0,85,12,51
"BT_0002",80,103,64,66,32,0,138,59,39
"BT_0003",30,16,42,6,8,0,0,0,6
"BT_0004",2,4,7,5,0,8,0,0,0
"BT_0005",7,8,3,0,0,0,0,0,7
"BT_0006",0,0,0,0,0,0,0,0,0
"BT_0007",1,2,0,0,0,0,0,0,0
"BT_0008",328,296,301,215,100,71,618,116,73
"BT_0009",658,705,572,36,19,0,13,38,0
"BT_0010",81,49,79,0,20,0,15,27,0
"BT_0011",30,23,18,7,0,0,8,16,38
"BT_0012",895,799,662,127,36,22,73,97,92
"BT_0013",65,57,89,0,0,20,0,1,0
"BT_0014",366,354,256,15,9,10,55,53,20
"BT_0015",42,53,46,9,11,16,0,11,0
"BT_0016",7,20,11,13,0,0,8,24,10
"BT_0017",17,19,16,2,0,0,0,8,0
"BT_0018",162,171,134,100,63,56,32,53,38
"BT_0019",0,0,0,0,0,0,0,0,0
"BT_0020",1,3,3,0,0,0,0,25,0
"BT_0021",0,0,1,0,0,0,0,0,0
"BT_0022",20.989,25.991,23.993,0,0,0,22,0,0
"BT_0023",0,0,0,6,0,0,3,0,0
"BT_0024",75,151.571,67,71,14,0,43,38,18
"BT_0025",6,4,3,9,11,0,0,0,0
"BT_0026",5,0,5,3,0,0,4,15,0
"BT_0027",41,10,15,3,31,0,69,13,0
"BT_0028",39.872,32,31,10,0,0,18,0,0
"BT_0029",351.128,438,500,46,48,89,27,103,26
"BT_0030",134.001,176,187,35,27,16,13,0,0
"BT_0031",53,43,44,21,0,13,5,13,0
"BT_0032",0,0,0,0,0,0,0,0,0
"BT_0033",41,40,45,19,0,0,47,9,4
"BT_0034",91,76,91,81,27,35,136,86,17
"BT_0035",0,0,0,5,0,0,19,4,0
"BT_0036",50,44,47,31,0,16,4,65,0
"BT_0037",581.054,370,449.985,121,33,0,58,74,102
"BT_0038",6.946,3,6.015,0,12,0,14,9,10
"BT_0039",44.623,43,60,23.658,16,0,0,13,0
"BT_0040",183.377,159,145.887,44.342,4,12,17,23,20
"BT_0041",251,289.999,298.854,21,2,0,8,57,25
"BT_0042",49,50.001,20.259,2,8,0,0,0,6
"BT_0043",0,0,0,0,0,0,0,0,0
"BT_0044",20,21,29,4,13,0,22,0,0
"BT_0045",83.911,46.006,81.798,32,5,17.438,34.12,26,0
"BT_0046",164.106,193.994,165.202,89,3,35.562,24.88,49,10
"BT_0047",10,8,10,7,0,0,0,15,0
"BT_0048",10,15,16,5,0,0,7,0,0
"BT_0049",71,88,77,26,17,0,41,0,24
"BT_0050",129,159,142.999,68.842,35,15,31,39,26
"BT_0051",54,55.13,94.001,20.158,6,0,8,26,14
"BT_0052",1199,974.719,960.726,45,15,22,20,52,7
"BT_0053",189,151.151,150.274,93,13,28,57,135,78
"BT_0054",106.011,99,143,31,0,0,6,30,14
"BT_0055",88.989,86,119.414,45,0,0,0,14.016,0
"BT_0056",239,275.302,208.694,36,0,6,11,47.984,0
"BT_0057",88,144.698,102.892,8,0,14,3,0,0
"BT_0058",3723.771,4691.164,3105.66,728,299,202,245,703,690
"BT_0059",2168.894,2536.836,1860.262,233,107,111,135,260,129
"BT_0060",840.483,784,624.349,12,22,19,20,71,78
"BT_0061",4623.853,4366,3459,279,166,168,262,680,282
"BT_0062",0,0,0,0,0,0,0,0,0
"BT_0063",2,5.103,3,0,0,0,0,0,0
"BT_0064",1654,1440.897,1397.977,89,30,7,174,203,63
"BT_0065",3949,4176.992,3041.023,732,264,187,261,197,200
"BT_0066",189,213,167,15,0,0,8,41,0
"BT_0067",22,8,14,0,0,0,0,0,0
"BT_0068",187,134,234,41,20,41,13,143,70
"BT_0069",279.787,365.993,387,30,37,0,34,0,29
"BT_0070",445.482,398.007,532.987,24,0,0,17,0,47
"BT_0071",1056.791,1194,1066.013,45,9,28,58,48,0
"BT_0072",738.62,677.565,677.74,67.276,47,14,48.295,37,44.895
"BT_0073",120789.386,127728.3,95150.062,23697.591,8729.95,6632.046,6937.341,13143.415,11377.624
"BT_0074",19551.54,18143.637,14813.782,7934.133,4224.05,3433.954,3086.363,7598.585,4809.481
